run_utc,label,device,height,width,duration_s,calls,weight_bytes,weight_mib,peak_alloc_delta_bytes_max,peak_alloc_delta_mib_max,peak_reserved_delta_bytes_max,peak_reserved_delta_mib_max,rss_delta_bytes_max,rss_delta_mib_max
2026-02-02T02:43:48.575268+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,3019898880,2880.000,374341632,357.000
2026-02-02T02:43:48.575268+00:00,transformer,None,1024,1024,,100,5427580032,5176.144,638081536,608.522,759169024,724.000,132120576,126.000
2026-02-02T02:44:56.088140+00:00,text_encoder,None,1024,1024,,2,0,0.000,5533885440,5277.524,5561647104,5304.000,610611200,582.324
2026-02-02T02:44:56.088140+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,2956984320,2820.000,374341632,357.000
2026-02-02T02:44:56.088140+00:00,transformer,None,1024,1024,,100,5427580032,5176.144,638081536,608.522,780140544,744.000,132907008,126.750
2026-02-02T02:46:22.443692+00:00,text_encoder,None,1024,1024,,2,0,0.000,5533885440,5277.524,5561647104,5304.000,611655680,583.320
2026-02-02T02:46:22.443692+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,2956984320,2820.000,374341632,357.000
2026-02-02T02:46:22.443692+00:00,transformer,None,1024,1024,,100,5427580032,5176.144,638081536,608.522,780140544,744.000,132513792,126.375
2026-02-02T03:07:41.018294+00:00,text_encoder,None,1024,1024,,2,5183516672,4943.387,5533885440,5277.524,5561647104,5304.000,610893824,582.594
2026-02-02T03:07:41.018294+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,2956984320,2820.000,374341632,357.000
2026-02-02T03:07:41.018294+00:00,transformer,None,1024,1024,,100,5427580032,5176.144,638081536,608.522,780140544,744.000,131334144,125.250
2026-02-02T03:11:26.515386+00:00,text_encoder,None,1024,1024,,2,5183516672,4943.387,5533885440,5277.524,5561647104,5304.000,609075200,580.859
2026-02-02T03:11:26.515386+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,2956984320,2820.000,374341632,357.000
2026-02-02T03:11:26.515386+00:00,transformer,None,1024,1024,,100,5427580032,5176.144,638081536,608.522,780140544,744.000,131334144,125.250
